649316122,0.354,gn
5570123,1.345,gn
5809387,1.608,gn
5805888,2.003,gn
5662204,5.375,gn
5673357,5.678,gn
5784752,5.798,gn
5808016,6.059,gn
5809164,6.865,gn
5665127,9.537,gn
5800521,11.16,gn
5430483,11.789,gn
5430487,11.8,gn
5773074,11.806,gn
8760034440,13.106,gn
5626776,15.013,gn
5782908,15.705,gn
5605937,18.01,gn
5805606,21.93,gn
5800485,25.656,gn
5560548,37.893,gn
5660326,45.822,gn
5605670,57.957,gn
5809391,140.171,gn
5809391,-171.337,z9
5605670,-70.936,z9
5660326,-56.048,z9
5560548,-46.35,z9
5800485,-31.382,z9
5805606,-26.824,z9
5605937,-22.028,z9
5782908,-19.209,z9
5626776,-18.351,z9
8760034440,-16.025,z9
5773074,-14.441,z9
5430487,-14.434,z9
5430483,-14.42,z9
5800521,-13.651,z9
5665127,-11.665,z9
5809164,-8.397,z9
5808016,-7.411,z9
5784752,-7.092,z9
5673357,-6.945,z9
5662204,-6.574,z9
5805888,-2.45,z9
5809387,-1.967,z9
5570123,-1.644,z9
649316122,-0.433,z9
5809391,-319.408,z7
5605937,-199.383,z7
5560548,-79.042,z7
5676195,-59.86,z7
5800485,-37.679,z7
5660326,-32.889,z7
5782908,-28.207,z7
5805606,-23.955,z7
5800521,-12.232,z7
5665127,-4.864,z7
649316122,-2.486,z7
649316122,2.178,z5
5665127,4.263,z5
5800521,10.722,z5
5805606,21,z5
5782908,24.727,z5
5660326,28.832,z5
5800485,33.031,z5
5676195,52.475,z5
5560548,69.292,z5
5605937,174.788,z5
5809391,280.104,z5
649316122,10.025,eq
5480445,10.108,eq
5567513,10.108,eq
5565977,14.152,eq
8760034440,14.163,eq
5800521,19.486,eq
5480437,20.217,eq
5430487,20.217,eq
5430483,20.217,eq
5773074,20.217,eq
5608684,20.217,eq
5665127,20.221,eq
5626776,25.143,eq
5605937,36.877,eq
5786261,40.436,eq
5560497,40.438,eq
5565550,40.438,eq
5560492,40.438,eq
5782908,50.549,eq
5805606,60.311,eq
5800485,76.47,eq
649356196,90.829,eq
5605670,97.83,eq
5566315,101.091,eq
5660326,101.436,eq
5560548,152.515,eq
5809391,519.829,eq
5809391,-646.22,z8
5560548,-189.697,z8
5660326,-126.166,z8
5566315,-125.737,z8
5605670,-121.744,z8
649356196,-112.953,z8
5800485,-95.114,z8
5805606,-75.014,z8
5782908,-62.872,z8
5560497,-50.297,z8
5786261,-50.297,z8
5565550,-50.297,z8
5560492,-50.297,z8
5605937,-45.868,z8
5626776,-31.256,z8
5665127,-25.15,z8
5480437,-25.145,z8
5430487,-25.145,z8
5430483,-25.145,z8
5773074,-25.145,z8
5608684,-25.145,z8
5800521,-24.238,z8
8760034440,-17.606,z8
5565977,-17.603,z8
5480445,-12.573,z8
5567513,-12.573,z8
649316122,-12.476,z8
