company,account,amount,date,units,fund,,,,,,,,,A Share,,Units of Bod,Value of Exchange,,Total Mid A Units,,GN_PY_UNTS,GN_NW_UNTS,GN_TR_UNTS,GN_DT_UNTS,
VIR,5609577,0,3/11/2011,-752.498,gn,,,,,,,,,,,2629.864144,-12754.8411,,1881.245,,1881.245,0,0,0,
VIR,5805499,0,3/11/2011,-992.0052,gn,,,,,,,,,,,3466.904771,-16814.48814,,2480.013,,2480.013,0,0,0,
VIR,5608684,0,3/11/2011,-36.176,gn,,,,,,,,,,,126.4295258,-613.1832,,90.44,,85.457,0,0,4.983,
VIR,5674478,0,3/11/2011,-186.542,gn,,,,,,,,,,,651.9354433,-3161.8869,,466.355,,474.074,-7.719,0,0,
VIR,5805282,0,3/11/2011,-44.4932,gn,,,,,,,,,,,155.4968536,-754.15974,,111.233,,111.233,0,0,0,
VIR,5640813,0,3/11/2011,-30.9408,gn,,,,,,,,,,,108.1333113,-524.44656,,77.352,,78.543,-1.191,0,0,
VIR,5659744,0,3/11/2011,-1320.4368,gn,,,,,,,,,,,4614.722425,-22381.40376,,3301.092,,3325.642,-24.55,0,0,
VIR,5790168,0,3/11/2011,-1314.794,gn,,,,,,,,,,,4595.001711,-22285.7583,,3286.985,,3311.477,-24.492,0,0,
VIR,5800542,0,3/11/2011,-32.1052,gn,,,,,,,,,,,112.2027093,-544.18314,,80.263,,80.263,0,0,0,
VIR,5808972,0,3/11/2011,-67.468,gn,,,,,,,,,,,235.7902268,-1143.5826,,168.67,,250.618,-81.948,0,0,
VIR,5566315,0,3/11/2011,-99.845,gn,,,,,,,,,,,348.9428351,-1692.37275,,237.349,,263.951,-26.602,0,0,
VIR,5567277,0,3/11/2011,-35.5416,gn,,,,,,,,,,,124.2123959,-602.43012,,88.854,,88.854,0,0,0,
VIR,5659064,0,3/11/2011,-538.45,gn,,,,,,,,,,,1881.799485,-9126.7275,,1346.125,,1356.978,-10.853,0,0,
VIR,5659868,0,3/11/2011,-307.4236,gn,,,,,,,,,,,1074.397942,-5210.83002,,768.559,,768.559,0,0,0,
VIR,5807575,0,3/11/2011,-40.8568,gn,,,,,,,,,,,142.7881979,-692.52276,,102.142,,102.142,0,0,0,
VIR,5664961,0,3/11/2011,-82.625,gn,,,,,,,,,,,288.7615979,-1400.49375,,185.955,,189.669,-3.714,0,0,
VIR,5570740,0,3/11/2011,-73.51,gn,,,,,,,,,,,256.9060825,-1245.9945,,183.775,,156.618,27.157,0,0,
VIR,5659089,0,3/11/2011,-31.0112,gn,,,,,,,,,,,108.3793485,-525.63984,,77.528,,77.528,0,0,0,
VIR,5805091,0,3/11/2011,-174.7716,gn,,,,,,,,,,,610.7997155,-2962.37862,,436.929,,436.929,0,0,0,
VIR,5560756,0,3/11/2011,-248.3896,gn,,,,,,,,,,,868.0832412,-4210.20372,,620.974,,629.482,-8.508,0,0,
VIR,5803725,0,3/11/2011,-36.7616,gn,,,,,,,,,,,128.4761072,-623.10912,,91.904,,91.904,0,0,0,
VIR,5805181,0,3/11/2011,-40.7776,gn,,,,,,,,,,,142.5114062,-691.18032,,101.944,,101.944,0,0,0,
VIR,5805822,0,3/11/2011,-2258.0152,gn,,,,,,,,,,,7891.413946,-38273.35764,,5645.038,,5916.122,0,-271.084,0,
VIR,5605670,0,3/11/2011,-630.1348,gn,,,,,,,,,,,2202.223682,-10680.78486,,1575.337,,1575.337,0,0,0,
VIR,5804277,0,3/11/2011,-49.0836,gn,,,,,,,,,,,171.5395918,-831.96702,,122.709,,122.709,0,0,0,
VIR,5784809,0,3/11/2011,-53.6468,gn,,,,,,,,,,,187.4872701,-909.31326,,134.117,,134.117,0,0,0,
VIR,5710528,0,3/11/2011,-42.42,gn,,,,,,,,,,,148.2513402,-719.019,,96.461,,99.524,-3.063,0,0,
VIR,5809391,0,3/11/2011,-42.2756,gn,,,,,,,,,,,147.7466845,-716.57142,,105.689,,108.127,-2.438,0,0,
VIR,5435724,0,3/11/2011,-49.9524,gn,,,,,,,,,,,174.5759134,-846.69318,,124.881,,124.881,0,0,0,
VIR,5803994,0,3/11/2011,-546.814,gn,,,,,,,,,,,1911.030371,-9268.4973,,1367.035,,1367.035,0,0,0,
VIR,5807803,0,3/11/2011,-619.392,gn,,,,,,,,,,,2164.679258,-10498.6944,,1548.48,,1548.48,0,0,0,
VIR,5665952,0,3/11/2011,-45.6012,gn,,,,,,,,,,,159.3691423,-772.94034,,114.003,,114.003,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,370183.8754,,,,,,,,,
