company,account,amount,date,units,fund,,,,,,,,,A Share,,Units of Bod,Value of Exchange,,Total Mid A Units,,GN_PY_UNTS,GN_NW_UNTS,GN_TR_UNTS,GN_DT_UNTS,
VIR,5666745,0,3/11/2011,-34.736,gn,,,,,,,,,-34.736,,121.3969485,-588.7752,,86.84,,86.84,0,0,0,
VIR,5805403,0,3/11/2011,-44.9004,gn,,,,,,,,,-44.9004,,156.9199546,-761.06178,,112.251,,112.251,0,0,0,
VIR,5431912,0,3/11/2011,-35.6756,gn,,,,,,,,,-35.6756,,124.6807052,-604.70142,,89.189,,89.189,0,0,0,
VIR,5431908,0,3/11/2011,-37.1616,gn,,,,,,,,,-37.1616,,129.8740454,-629.88912,,92.904,,92.904,0,0,0,
VIR,5789575,0,3/11/2011,-450.6836,gn,,,,,,,,,-460.684,,1575.069489,-7639.08702,,1126.709,,1126.709,0,0,0,
VIR,5790232,0,3/11/2011,-2084.604,gn,,,,,,,,,-2084.6,,7285.368619,-35334.0378,,5211.51,,5390.812,-179.302,0,0,
VIR,5782908,0,3/11/2011,-49.9364,gn,,,,,,,,,,,174.5199959,-846.42198,,124.841,,111.078,13.763,0,0,
VIR,5803467,0,3/11/2011,-603.8152,gn,,,,,,,,,,,2110.240751,-10234.66764,,1509.538,,1509.538,0,0,0,
VIR,5628269,0,3/11/2011,-29.2352,gn,,,,,,,,,,,102.1725031,-495.53664,,73.088,,73.088,0,0,0,
VIR,5805606,0,3/11/2011,-77.6852,gn,,,,,,,,,,,271.4977608,-1316.76414,,194.213,,166.688,27.525,0,0,
VIR,5800521,0,3/11/2011,-41.976,gn,,,,,,,,,,,146.6996289,-711.4932,,104.94,,83.816,21.124,0,0,
VIR,5808604,0,3/11/2011,-62.5576,gn,,,,,,,,,,,218.6291381,-1060.35132,,156.394,,156.394,0,0,0,
VIR,5808600,0,3/11/2011,-301.2464,gn,,,,,,,,,,,1052.809584,-5106.12648,,753.116,,741.795,11.321,0,0,
VIR,5790394,0,3/11/2011,-1484.7864,gn,,,,,,,,,,,5189.098862,-25167.12948,,3711.966,,3739.36,-27.394,0,0,
VIR,5560469,0,3/11/2011,-662.797,gn,,,,,,,,,,,2316.373021,-11234.40915,,1609.232,,1572.106,37.126,0,0,
VIR,5667834,0,3/11/2011,-43.9492,gn,,,,,,,,,,,153.5956577,-744.93894,,109.873,,70.505,39.368,0,0,
VIR,5808975,0,3/11/2011,-1092.7392,gn,,,,,,,,,,,3818.954524,-18521.92944,,2731.848,,2731.848,0,0,0,
VIR,5808979,0,3/11/2011,-2414.9164,gn,,,,,,,,,,,8439.759377,-40932.83298,,6037.291,,6037.291,0,0,0,
VIR,5568118,0,3/11/2011,-254.9496,gn,,,,,,,,,,,891.0094268,-4321.39572,,637.374,,637.374,0,0,0,
VIR,5785200,0,3/11/2011,-86.2184,gn,,,,,,,,,,,301.3199753,-1461.40188,,215.546,,215.546,0,0,0,
VIR,5803301,0,3/11/2011,-419.1736,gn,,,,,,,,,,,1464.946911,-7104.99252,,1047.934,,1047.934,0,0,0,
VIR,5560465,0,3/11/2011,-181.543,gn,,,,,,,,,,,634.4647113,-3077.15385,,424.229,,424.229,0,0,0,
VIR,5572569,0,3/11/2011,-58.7044,gn,,,,,,,,,,,205.1628,-995.03958,,146.761,,146.761,0,0,0,
VIR,5572581,0,3/11/2011,-4311.9712,gn,,,,,,,,,,,15069.67254,-73087.91184,,10779.928,,9013.144,1766.784,0,0,
VIR,5627115,0,3/11/2011,-50.2148,gn,,,,,,,,,,,175.4929608,-851.14086,,125.537,,125.537,0,0,0,
VIR,5573620,0,3/11/2011,-41.6524,gn,,,,,,,,,,,145.5686969,-706.00818,,104.131,,111.732,-7.601,0,0,
VIR,5627492,0,3/11/2011,-804.8232,gn,,,,,,,,,,,2812.732627,-13641.75324,,2012.058,,2012.058,0,0,0,
VIR,5430487,0,3/11/2011,-53.84,gn,,,,,,,,,,,188.1624742,-912.588,,126.345,,120.84,5.505,0,0,
VIR,5430483,0,3/11/2011,-55.646,gn,,,,,,,,,,,194.4741649,-943.1997,,130.863,,125.358,5.505,0,0,
VIR,5552616,0,3/11/2011,-35.8344,gn,,,,,,,,,,,125.2356866,-607.39308,,89.586,,89.586,0,0,0,
VIR,5650266,0,3/11/2011,-78.864,gn,,,,,,,,,,,275.6174845,-1336.7448,,197.16,,139.857,57.303,0,0,
VIR,5627263,0,3/11/2011,-52.7688,gn,,,,,,,,,,,184.4187959,-894.43116,,131.922,,131.922,0,0,0,
VIR,5569505,0,3/11/2011,-337.6808,gn,,,,,,,,,,,1180.142177,-5723.68956,,844.202,,820.816,23.386,0,0,
VIR,5661663,0,3/11/2011,-2951.4952,gn,,,,,,,,,,,10315.01931,-50027.84364,,7378.738,,7378.738,0,0,0,
